step,layer,hops,path_mass,route_divergence,relation_residual,relation_shuffled,relation_coverage,sources
9,1,2,0.05346208,0.11627864837646484,0.1531035155057907,0.20462942123413086,1.0,"[[254, "","", 0.002112321089953184], [258, "".\n\n"", 0.0020759771578013897], [231, "","", 0.0019055538577958941]]"
10,1,2,0.042228825,0.11452293395996094,0.08638907968997955,0.13231436908245087,1.0,"[[254, "","", 0.0016583395190536976], [258, "".\n\n"", 0.0016579353250563145], [231, "","", 0.0014990647323429585]]"
11,1,2,0.044233426,0.12292861938476562,0.10202004760503769,0.14856621623039246,1.0,"[[258, "".\n\n"", 0.0017536426894366741], [254, "","", 0.0017396165058016777], [231, "","", 0.0015682767843827605]]"
12,1,2,0.060379818,0.09964370727539062,0.16899535059928894,0.21562083065509796,1.0,"[[258, "".\n\n"", 0.002358126686885953], [254, "","", 0.0023460732772946358], [231, "","", 0.002146724844351411]]"
13,1,2,0.043131173,0.13985443115234375,0.07430663704872131,0.11775771528482437,1.0,"[[254, "","", 0.0016350134974345565], [231, "","", 0.0015588433016091585], [249, "","", 0.0015530986711382866]]"
14,1,2,0.037514012,0.16715478897094727,0.02994535118341446,0.05487703159451485,1.0,"[[237, "","", 0.0014362545916810632], [249, "","", 0.0014018070651218295], [254, "","", 0.001375415362417698]]"
15,1,2,0.0483272,0.11671972274780273,0.13820703327655792,0.1743375062942505,1.0,"[[237, "","", 0.0019005252979695797], [249, "","", 0.0017955631483346224], [231, "","", 0.0017401381628587842]]"
16,1,2,0.03626501,0.23901939392089844,0.026030603796243668,0.047979746013879776,1.0,"[[237, "","", 0.0013992040185257792], [249, "","", 0.001332669286057353], [254, "","", 0.001330606872215867]]"
17,1,2,0.04673129,0.21877622604370117,0.07894238829612732,0.10541580617427826,1.0,"[[237, "","", 0.0018313712207600474], [249, "","", 0.0017532091587781906], [254, "","", 0.0017428681021556258]]"
18,1,2,0.05826642,0.11009454727172852,0.02272016741335392,0.0608011856675148,1.0,"[[258, "".\n\n"", 0.002166104968637228], [254, "","", 0.00212786253541708], [249, "","", 0.0020771773997694254]]"
19,1,2,0.03738898,0.09535646438598633,0.09813211858272552,0.14010022580623627,1.0,"[[258, "".\n\n"", 0.0017105293227359653], [249, "","", 0.0012471049558371305], [254, "","", 0.0012265305267646909]]"
20,1,2,0.03949791,0.09118509292602539,0.17023219168186188,0.22248484194278717,1.0,"[[258, "".\n\n"", 0.0017358149634674191], [249, "","", 0.0013579465448856354], [254, "","", 0.0013365274062380195]]"
21,1,2,0.050432906,0.0894627571105957,0.15367861092090607,0.20149382948875427,1.0,"[[258, "".\n\n"", 0.0023480465169996023], [249, "","", 0.0017149053746834397], [254, "","", 0.0016980161890387535]]"
22,1,2,0.03478637,0.20285987854003906,0.014364662580192089,0.0470924936234951,1.0,"[[258, "".\n\n"", 0.0014498586533591151], [254, "","", 0.0012603657087311149], [249, "","", 0.0012191955465823412]]"
23,1,2,0.031869154,0.24086809158325195,0.0036493209190666676,0.03280753642320633,1.0,"[[254, "","", 0.001272425870411098], [237, "","", 0.001225606189109385], [231, "","", 0.0011990700149908662]]"
24,1,2,0.061910853,0.1043081283569336,0.07056307792663574,0.10235537588596344,1.0,"[[258, "".\n\n"", 0.002588924951851368], [254, "","", 0.0022638298105448484], [249, "","", 0.002170237945392728]]"
25,1,2,0.057126183,0.10388326644897461,0.08414836972951889,0.12274868041276932,1.0,"[[258, "".\n\n"", 0.0024333063047379255], [254, "","", 0.002048111753538251], [249, "","", 0.0020282939076423645]]"
26,1,2,0.04083433,0.20313262939453125,0.12335404008626938,0.15771028399467468,1.0,"[[249, "","", 0.0016320798313245177], [254, "","", 0.0015373708447441459], [237, "","", 0.0014978910330682993]]"
27,1,2,0.036569428,0.21733760833740234,0.08872178196907043,0.11800602078437805,1.0,"[[249, "","", 0.0016084049129858613], [237, "","", 0.0013990012230351567], [254, "","", 0.0013890956761315465]]"
28,1,2,0.044546254,0.22037267684936523,0.04484660178422928,0.07588141411542892,1.0,"[[249, "","", 0.001955886837095022], [237, "","", 0.0017481636023148894], [254, "","", 0.001702269772067666]]"
29,1,2,0.050714687,0.17368030548095703,0.009780952706933022,0.03083059936761856,1.0,"[[249, "","", 0.0021096670534461737], [254, "","", 0.001955510349944234], [237, "","", 0.001919036847539246]]"
30,1,2,0.040713444,0.14609909057617188,0.012803862802684307,0.03981494531035423,1.0,"[[254, "","", 0.0016702673165127635], [249, "","", 0.001651247264817357], [237, "","", 0.0015363835263997316]]"
31,1,2,0.040587205,0.23790979385375977,0.03814566507935524,0.05957355350255966,1.0,"[[254, "","", 0.0017488700104877353], [249, "","", 0.0016667289892211556], [237, "","", 0.0015438530826941133]]"
32,1,2,0.041548535,0.20511674880981445,0.039992451667785645,0.06909844279289246,1.0,"[[254, "","", 0.0018712547607719898], [249, "","", 0.0017409496940672398], [237, "","", 0.001591869629919529]]"
33,1,2,0.05576678,0.11882829666137695,0.04589137062430382,0.07679808884859085,1.0,"[[254, "","", 0.0024081554729491472], [249, "","", 0.002317128237336874], [237, "","", 0.002113085240125656]]"
34,1,2,0.047881342,0.12769412994384766,0.07427818328142166,0.09487491846084595,1.0,"[[254, "","", 0.0020263465121388435], [249, "","", 0.001991431461647153], [237, "","", 0.0017701351316645741]]"
35,1,2,0.04588305,0.1281719207763672,0.03319162502884865,0.05606996640563011,1.0,"[[254, "","", 0.001949130673892796], [249, "","", 0.00189993716776371], [237, "","", 0.0016772603848949075]]"
36,1,2,0.035037592,0.23561668395996094,0.008941549807786942,0.02773812972009182,1.0,"[[254, "","", 0.0014827409759163857], [249, "","", 0.0014325836673378944], [237, "","", 0.0012816112721338868]]"
37,1,2,0.044388838,0.26981067657470703,0.044850584119558334,0.07438003271818161,1.0,"[[254, "","", 0.0019183383556082845], [249, "","", 0.0018459383863955736], [237, "","", 0.0016211812617257237]]"
38,1,2,0.054503985,0.1055135726928711,0.0232986006885767,0.04092910513281822,1.0,"[[254, "","", 0.0023262854665517807], [249, "","", 0.0022640249226242304], [237, "","", 0.0019945381209254265]]"
39,1,2,0.049308732,0.17057228088378906,0.03619503229856491,0.060292571783065796,1.0,"[[254, "","", 0.0021166240330785513], [249, "","", 0.002088097622618079], [237, "","", 0.0018085628980770707]]"
40,1,2,0.03904109,0.21164464950561523,0.007674559485167265,0.01896057464182377,1.0,"[[254, "","", 0.0016666804440319538], [249, "","", 0.0016605355776846409], [237, "","", 0.0014113241340965033]]"
41,1,2,0.058087695,0.09358930587768555,0.04922734573483467,0.07454325258731842,1.0,"[[258, "".\n\n"", 0.0022064722143113613], [254, "","", 0.002191684441640973], [249, "","", 0.002186122350394726]]"
42,1,2,0.05017657,0.10897111892700195,0.1492694765329361,0.1905864030122757,1.0,"[[258, "".\n\n"", 0.00218000914901495], [254, "","", 0.0016986023401841521], [249, "","", 0.0016957615735009313]]"
43,1,2,0.059221596,0.08887434005737305,0.1945897340774536,0.24407781660556793,1.0,"[[258, "".\n\n"", 0.002521070884540677], [249, "","", 0.002092088805511594], [254, "","", 0.0020814964082092047]]"
44,1,2,0.05919792,0.08540773391723633,0.23366199433803558,0.27754315733909607,1.0,"[[258, "".\n\n"", 0.0026051057502627373], [254, "","", 0.0020903886761516333], [249, "","", 0.002073760610073805]]"
45,1,2,0.03997939,0.10784244537353516,0.07050513476133347,0.10420114547014236,1.0,"[[254, "","", 0.0015302718384191394], [249, "","", 0.0014983220025897026], [258, "".\n\n"", 0.0014949465403333306]]"
46,1,2,0.03088618,0.20457935333251953,0.022401919588446617,0.04629719257354736,1.0,"[[254, "","", 0.0012907444033771753], [249, "","", 0.001198868383653462], [231, "","", 0.0011211488163098693]]"
47,1,2,0.03816882,0.22948169708251953,0.07690556347370148,0.10830357670783997,1.0,"[[254, "","", 0.0017271132674068213], [249, "","", 0.00155036395881325], [231, "","", 0.0014927228912711143]]"
48,1,2,0.062285956,0.10687112808227539,0.1323445588350296,0.1676008701324463,1.0,"[[254, "","", 0.002484677592292428], [258, "".\n\n"", 0.0023071325849741697], [249, "","", 0.00229876977391541]]"
49,1,2,0.054628674,0.10599994659423828,0.13122914731502533,0.1628466248512268,1.0,"[[254, "","", 0.0021460517309606075], [249, "","", 0.002030004747211933], [258, "".\n\n"", 0.0020072401966899633]]"
50,1,2,0.033115283,0.22751331329345703,0.09303721785545349,0.12212643772363663,1.0,"[[254, "","", 0.0013875289587303996], [249, "","", 0.0012801785487681627], [237, "","", 0.0012387334136292338]]"
51,1,2,0.04052067,0.2099614143371582,0.11703523248434067,0.1487528681755066,1.0,"[[254, "","", 0.0017020851373672485], [249, "","", 0.001598277362063527], [237, "","", 0.0015952404355630279]]"
52,1,2,0.04287427,0.20730113983154297,0.07425572723150253,0.10787507146596909,1.0,"[[254, "","", 0.001779134850949049], [237, "","", 0.001742517575621605], [249, "","", 0.0016761536244302988]]"
53,1,2,0.048201602,0.16368770599365234,0.06171988323330879,0.08410494774580002,1.0,"[[254, "","", 0.0019661032129079103], [237, "","", 0.00186406378634274], [249, "","", 0.0018106851493939757]]"
54,1,2,0.039296236,0.14024925231933594,0.05958649888634682,0.08725883066654205,1.0,"[[254, "","", 0.0016173861222341657], [237, "","", 0.00149380206130445], [249, "","", 0.0014293126296252012]]"
55,1,2,0.03986832,0.222137451171875,0.0685356855392456,0.09414681792259216,1.0,"[[254, "","", 0.001650290796533227], [237, "","", 0.0015037446282804012], [249, "","", 0.001478157239034772]]"
56,1,2,0.039941903,0.1970200538635254,0.09160532802343369,0.1217893436551094,1.0,"[[254, "","", 0.0016552373999729753], [249, "","", 0.001503381528891623], [237, "","", 0.0014875850174576044]]"
57,1,2,0.05028119,0.11979389190673828,0.06017761677503586,0.09196070581674576,1.0,"[[254, "","", 0.002038042526692152], [237, "","", 0.0018990746466442943], [249, "","", 0.001870237523689866]]"
